name,ring,quadrant,isNew,description,who
Amazon Web Services (AWS),adopt,platforms,TRUE,"<a href='https://aws.amazon.com/'>AWS</a> is a strategic public cloud provider for IAG. We have been using it since 2015, and we have a number of people with skills in using its service offerings to deliver applications.<br>Its strength is its extensive IaaS offering, but it also has PaaS and SaaS offerings.",
AWS Route 53,adopt,platforms,TRUE,"<a href='https://aws.amazon.com/route53/'>Route 53</a> should be utilised for solutions in AWS for both centralisation of domain registration and DNS management. Centralisation of registration in AWS allows for automatic renewal and clear inventory of domain ownership. DNS management should remain with the domain and will enable further automation of cloud-based solutions.",
Docker,adopt,platforms,TRUE,"<a href='https://www.docker.com/'>Docker</a> provides process isolation, a standardised packaging format, and a programming language agnostic runtime for both long- and short-lived processes.<br>It's fast becoming the de-facto application packaging and deployment standard at IAG.<br>We however do <i>not</i> recommend it for running databases outside of developer workstations.",
Hashicorp Vault,adopt,platforms,TRUE,"<a href='https://www.vaultproject.io/'>Vault</a> is a tool for securely accessing secrets. A secret is anything that you want to tightly control access to, such as API keys, database credentials, certificates, and more. Vault provides a unified interface to any secret, while providing tight access control and recording a detailed audit log.The key features of Vault are: <ul><li><b>Secure Secret Storage:</b>Arbitrary key/value secrets can be stored in Vault. Vault encrypts these secrets prior to writing them to persistent storage, so gaining access to the raw storage isn't enough to access your secrets. Vault can write to disk, Consul, and more.</li> <li><b>Dynamic Secrets:</b> Vault can generate secrets on-demand for some systems, such as AWS or SQL databases. For example, when an application needs to access an S3 bucket, it asks Vault for credentials, and Vault will generate an AWS keypair with valid permissions on demand. After creating these dynamic secrets, Vault will also automatically revoke them after the lease is up.</li> <li><b>Data Encryption:</b> Vault can encrypt and decrypt data without storing it. This allows security teams to define encryption parameters and developers to store encrypted data in a location such as SQL without having to design their own encryption methods.</li> <li><b>Leasing and Renewal:</b> All secrets in Vault have a lease associated with them. At the end of the lease, Vault will automatically revoke that secret. Clients are able to renew leases via built-in renew APIs.</li> <li><b>Revocation:</b> Vault has built-in support for secret revocation. Vault can revoke not only single secrets, but a tree of secrets, for example all secrets read by a specific user, or all secrets of a particular type. Revocation assists in key rolling as well as locking down systems in the case of an intrusion.</li></ul>",
Object storage for heavy duty data storage,adopt,platforms,TRUE,"Object storage services such as AWS S3 are specifically designed for large-scale data storage (rather than trying to implement NFS in EC2, etc.); just be sure to secure it appropriately.",
Object storage for static microsites,adopt,platforms,TRUE,"For static microsites (such as this radar!), it is possible to leverage the serverless nature of various cloud services to provide a functional, scalable and low cost solution. For instance, the use of S3 as file storage, CloudFront to support distribution and encryption-in-transit, and WAF (web application firewall) to limit connectivity to internal IAG users.",
Rancher,adopt,platforms,TRUE,"<a href='https://rancher.com/rancher/'>Rancher</a> is the primary container orchestration platform in use at IAG. It's been in production since 2015 and supports a PaaS that spans AWS, MDC, and WMDC. Version 1.x supported multiple container schedulers (Kubernetes, Docker Swarm, and Cattle), but from <a href='https://rancher.com/rancher2-0/'>version 2.0</a> onwards (coming in 2018), Kubernetes will be the only supported scheduler. It will be able to run on top of both self-hosted and managed Kubernetes offerings from various public cloud service providers.",
AWS Elastic Container Service (ECS),trial,platforms,TRUE,"<a href='https://aws.amazon.com/ecs/'>ECS</a> is a container orchestration offering from AWS that's been successfully used at IAG. It offers both its own simple orchestration engine as well as Kubernetes (EKS), and containers can be run either on a self-managed compute cluster, or in 'serverless' mode using the Fargate feature.",
AWS Elastic Kubernetes Service (EKS),trial,platforms,TRUE,"<a href='https://aws.amazon.com/eks/'>Amazon Elastic Container Service for Kubernetes (Amazon EKS)</a> is a managed service that makes it easy for you to run Kubernetes on AWS without needing to install and operate your own Kubernetes clusters.",
Google Cloud Platform (GCP),trial,platforms,TRUE,"<a href='https://cloud.google.com/'>GCP</a> is Google's public cloud offering, providing access to public versions of many of the technologies that power Google's products and services. It has IaaS, PaaS, and SaaS offerings.",
GCP as backup IaaS provider,trial,platforms,TRUE,"For material workloads IAG need appropriate measures in place to prevent a dependency in any single service provider. For material workloads operating in line with the <a href='https://confluence.iag.com.au/display/ILA/Cloud+Strategy+and+Architecture'>IAG Public Cloud Strategy</a>, it is imperative that we investigate the suitability of Google Cloud's Compute Engine and related services as a comparable IaaS platform providing the resilience and recovery capabilities we need.",
Kubernetes,trial,platforms,TRUE,"<a href='https://kubernetes.io/'>Kubernetes</a> is fast becoming the industry de-facto standard for container orchestration that can be used both in public clouds and on-premise. It's based on <a href='http://blog.kubernetes.io/2015/04/borg-predecessor-to-kubernetes.html'>Borg</a>, which is Google's internal large-scale cluster management system, and many of the developers on Kubernetes are former Borg developers.<br>AWS, GCP and Azure all have managed Kubernetes offerings.<br>Rancher 2.x, Pivotal Container Service, and OpenShift 3.x are examples of open source platforms that build on Kubernetes.",
SaaS source code repositories,trial,platforms,TRUE,Using a SaaS provider for high performing distributed version control systems is highly desirable for teams who want to maintain the agility required to collaborate effectively and at mass scale. It eliminates the need to manage infrastructure and operating systems, reducing bottlenecks and lead times often experienced when managing and configuring services all whilst using a pay as you go model.,
AWS Elastic BeanStalk,assess,platforms,TRUE,"<a href='https://aws.amazon.com/elasticbeanstalk/'>Elastic Beanstalk</a> is a PaaS offering for simple application deployment. It can be a suitable platform for simple applications to get started early in their lifecycle, but teams have found that they quickly outgrow the platform, and so we advise teams considering this platform to plan early for migration to another platform.",
Google Firebase,assess,platforms,TRUE,<a href='https://firebase.google.com/'>Google Firebase</a> is a suite of tools for iOS and Android mobile application development. Components of the offering can be used independently,and it has been used successfully at IAG previously.,
Google Kubernetes Engine (GKE),assess,platforms,TRUE,"<a href='https://cloud.google.com/kubernetes-engine/'>GKE</a> (formerly known as Google Container Engine) is a managed environment for deploying containerised applications. It makes it easy for you to run Kubernetes on Google Cloud Platform (GCP) without needing to install and operate your own Kubernetes clusters.",
Microsoft Azure,assess,platforms,TRUE,"<a href='https://azure.microsoft.com/en-au/'>Azure</a> is a collection of public cloud services covering IaaS, PaaS and SaaS. Its SaaS offering based on Microsoft products is strong, while its IaaS and PaaS offerings currently don't stack up favourably to the competition when it comes to resilience and recovery related capabilities.",
Cloud Foundry Application Runtime,hold,platforms,TRUE,"<a href='https://www.cloudfoundry.org/application-runtime/'>Cloud Foundry Application Runtime</a> is an open-source container-based PaaS. It was created before Docker gained widespread adoption, and so it has been using its own container format (Warden), container scheduler, and provisioning tool (BOSH). The latest version has added support for Docker as the container format and Kubernetes as the scheduler, with BOSH being retained for provisioning.<br>Several vendors (IBM, Pivotal and others) have commercial offerings for both public cloud and on-premise hosting.<br>The main reasons for putting it on hold are (i) uncertainty around the strategic direction for the overall Cloud Foundry platform now that it encompasses two significantly different runtimes (application vs container); and (ii) the use of BOSH for provisioning, as it's a tool that has limited adoption outside Cloud Foundry.",
Cloud service brokers,hold,platforms,TRUE,"Cloud service brokers typically offer one or more of the following capabilities: intermediation, aggregation, or arbitrage. In doing so, they add cost (licensing/subscription for the broker), complexity (another layer of abstraction and management required), and reduce services available to the lowest common denominator, eliminating unique benefits of the leading providers. In the past, the <a href='https://www.rightscale.com/products-and-services/products/cloud-management-platform'>RightScale Cloud Management Platform</a> performed this role at IAG. However, cross-cloud service provider tools and frameworks such as Terraform, Packer, and container orchestrators have now reached a level of maturity where brokers are no longer necessary, and where the cost and complexity they add no longer outweigh the benefits. Given this development, we have successfully replaced RightScale with these tools at IAG.",
IBM Cloud,hold,platforms,TRUE,"<a href='https://www.ibm.com/cloud/'>IBM Cloud</a> comes in three flavours: the public cloud offering, <a href='https://www.ibm.com/cloud/dedicated'>Dedicated</a>, and <a href='https://www.ibm.com/cloud-computing/products/ibm-cloud-private/'>Private</a>. This product set has seen a high level of churn from IBM, with seemingly overlapping offerings based on Kubernetes, Cloud Foundry, Docker Enterprise Edition. With the frequent changes in direction we advise holding off.",
Oracle Cloud,hold,platforms,TRUE,<a href='https://cloud.oracle.com/home'>I don't even.</a>,
Ansible for host provisioning,adopt,languages & frameworks,TRUE,"<a href='https://www.ansible.com/'>Ansible</a> is an open source configuration management framework for automating host provisioning, supported by Red Hat. Compared to similar frameworks such as Puppet and Chef, Ansible doesn't require agents to run on hosts that are being managed. It also supports environment provisioning but we advise teams to use CloudFormation or Terraform for this purpose instead, as Ansible doesn't provide a good mechanism for tracking the state of the environment.",
AWS CloudFormation,adopt,languages & frameworks,TRUE,"<a href='https://aws.amazon.com/cloudformation/'>CloudFormation</a> is an environment provisioning service for AWS resources that allows us to define infrastructure as code. Compared to provider agnostic tools such as Terraform, the main benefits of using CloudFormation are (i) early support for new AWS offerings; and (ii) the environment state is kept in AWS, which significantly simplified state management. For these reason it's ideally suited to AWS-specific workloads. It supports both YAML and JSON syntax for its templates, and teams have been reporting that the newer YAML syntax is more readable.",
AWS Well Architected Framework,adopt,languages & frameworks,TRUE,"Alignment to the AWS platform and AWS best practices helps deliver successful outcomes. We recommend using <a href='https://aws.amazon.com/premiumsupport/trustedadvisor/'>AWS Trusted Advisor</a> to start the journey. The pillars are: <ul><li><b>Security:</b> The ability to protect information systems and assets while delivering business value through risk assessments and mitigation strategies.</li><li><b>Reliability:</b> The ability of a system to recover from infrastructure or service failures and dynamically acquire computing resources to meet demand and mitigate disruptions such as misconfigurations or transient network issues.</li><li><b>Performance Efficiency:</b> The ability to use computing resources efficiently to meet system requirements and to maintain that efficiency as demand changes and technologies evolve.</li><li><b>Cost Optimization:</b> The ability to avoid or eliminate unneeded cost or suboptimal resources.</li><li><b>Operational Excellence:</b> The ability to run and monitor systems to deliver business value and to continually improve supporting processes and procedures.</ul>",
Golang,adopt,languages & frameworks,TRUE,"Golang (Go) is a popular open-source systems programming language that finds a sweet spot between expressiveness, power and conciseness. It is fast and statically typed with a small easy-to-learn syntax, garbage collection, exceptional concurrency primitives and a rich standard library. In addition to systems programming, the combination of compiled statically linked binaries paired with featureful transport libraries built into the language has led to Go being an ideal candidate for microservice architectures and cloud-native deployments. Go is now also available on AWS Lambda.",
Hashicorp Terraform,adopt,languages & frameworks,TRUE,"<a href='https://www.terraform.io/'>Terraform</a> is an infrastructure-as-code framework for automated environment provisioning. It supports a range of hosting options including public cloud and on-premise hosting. It is a key enabling technology for both <a href='https://confluence.iag.com.au/display/ILA/Cloud+Strategy+and+Architecture'>our polycloud strategy</a> and for the hybrid cloud environment that hosts the customer-facing digital applications at IAG.",
Prometheus,adopt,languages & frameworks,TRUE,<a href='https://prometheus.io/'>Prometheus</a> is an open source toolkit for monitoring and alerting. It primarily uses a pull-based model.,
Serverless configuration management,adopt,languages & frameworks,TRUE,"Use pull-based versus push-based configuration management to build images and to configure the images at run time. An example is to use <a href='https://www.packer.io/docs/provisioners/ansible-local.html'>ansible-local</a> or <a href='https://www.packer.io/docs/provisioners/chef-solo.html'>chef-solo</a> with <a href='https://www.packer.io/'>Packer</a>. The pattern is to have a pipline that will build and test your configuration code and push to object storage (e.g. S3). When a machine image is baked the configuration code executes. Once the machine image is built the configuration that needs to be done at run-time should be minimal and any further configuration should be discovered from the environment using tags, labels, environment parameters (e.g. from Consul), DNS etc. The advantages are time-to-boot (minimal configuation at run-time), no need for extra servers to push from, no need for extra firewall rules to push from, and  the configuration is versioned and that version is associated with the machine image.",
Linux Security Modules,trial,languages & frameworks,TRUE,"<a href='https://en.wikipedia.org/wiki/Linux_Security_Modules'>Linux Security Modules</a> are typically implemented by Linux distributions in the form of SELinux or AppArmor. They provide security extensions to the kernel, and can be used to implement application whitelisting, mandatory access control, and a range of other defenses. While there is a learning curve, we encourage teams to use these tools in enforcing mode on their compute hosts.",
Open API Specification,trial,languages & frameworks,TRUE,The <a href='https://netflix.github.io/'>Open API Specification</a> (previously Swagger) is a widely used framework to document RESTful APIs.,
OpenTracing,trial,languages & frameworks,TRUE,"<a href='http://opentracing.io/'>OpenTracing</a> is an open standard for distributed tracing, with <a href='http://zipkin.io/'>Zipkin</a> being a common implementation.",
